year_id,team_id,fran_id,elo_n
1985,SEA,Thunder,1443.2775146341462
1985,UTA,Jazz,1495.013511956521
1985,WSB,Wizards,1493.917677906977
1986,ATL,Hawks,1529.0034824175825
1986,BOS,Celtics,1723.489248
1986,CHI,Bulls,1413.1156882352934
1986,CLE,Cavaliers,1475.1140170731712
1986,DAL,Mavericks,1524.2487510869566
1986,DEN,Nuggets,1554.8349206521737
1986,DET,Pistons,1532.9493488372098
1986,GSW,Warriors,1389.3861207317073
1986,HOU,Rockets,1561.4901264705886
1986,IND,Pacers,1398.5099353658536
1986,LAC,Clippers,1379.7971817073167
1986,LAL,Lakers,1693.3937270833328
1986,MIL,Bucks,1662.7913385416662
1986,NJN,Nets,1500.6704235294126
1986,NYK,Knicks,1370.2115695121945
1986,PHI,Sixers,1597.3493744680839
